Artist,Title,Year,Instrument,Genre,ID,Danceability,Energy,Valence,Tempo,Duration_MS
Chase & Status,Time,2011,Drums,Electronic / Dance,2HOMVMnOukowkziBJZyf7o,0.535,0.926,0.448,139.987,260427.0
Skrillex,Ragga Bomb (Skrillex & Zomboy Remix),2014,Drums,Electronic / Dance,2vtwoWBK8wOq9o3grruoJw,0.471,0.962,0.304,99.991,230396.0
Hideki Naganuma,Bomber Barbara,2005,Drums,Soundtrack,,,,,,
Naughty Boy,Lifted,2013,Drums,Rock / Pop,5OFnCw227Q1wr8cEEftzv8,0.472,0.722,0.285,127.437,197187.0
Apollo 440,Ain't Talkin' 'Bout Dub,1997,Drums,Electronic / Dance,0lk1zdGFPEv6U7omOAqhSs,0.331,0.937,0.657,163.978,270400.0
The Game,Compton,2006,Drums,Hip-Hop / Rap / R&B,0Xb8MMjP1edcdDfjPqufUR,0.732,0.938,0.732,91.963,281200.0
2 Live Crew,Feel Alright Y'all,1988,Drums,Hip-Hop / Rap / R&B,5rBGDvBBJdLYBkLTulW2z1,0.829,0.653,0.535,106.054,174160.0
LTJ Bukem,Demon's Theme,1992,Drums,Electronic / Dance,,,,,,
Baby D,Let Me Be Your Fantasy,1992,Drums,Electronic / Dance,1WI6o4TnRJTZfw1w41bNJ3,0.633,0.834,0.355,134.956,470507.0
Noisia,Diplodocus (Kill the Noise Remix),2010,Drums,Electronic / Dance,7HlbQCdVXgANsk2FMXICUs,0.619,0.968,0.274,171.869,164540.0
"Toby ""Radiation"" Fox",Your Best Nightmare,2015,Drums,Electronic / Dance,,,,,,
Sub Focus,Last Jungle,2009,Drums,Electronic / Dance,6CqpBDG4dpDyk8JFiZr2ZU,0.477,0.76,0.0531,144.975,219440.0
Atari Teenage Riot and Slayer,No Remorse (I Wanna Die),1997,Drums,Rock / Pop,,,,,,
Primal Scream,Slip Inside This House,1991,Drums,Electronic / Dance,3GHoh90PduyzvtYvjWoyfu,0.506,0.846,0.935,96.946,315160.0
Zomboy,Like a Bitch,2016,Drums,Electronic / Dance,72RFLY7sigTDszBRAKg9Mf,0.592,0.988,0.268,149.985,264000.0
Venetian Snares,Gentleman,2008,Drums,Electronic / Dance,7Hbdxxm3DrqwRwsWT3EVXo,0.548,0.976,0.262,174.003,273387.0
Dr. Kucho! and Gregor Salto,Can't Stop Playing (Oliver Heldens & Gregor Salto Remix),2014,Drums,Electronic / Dance,,,,,,
Igorrr,Brutal Swing,2008,Drums,Electronic / Dance,668JSOrXubYTxQGfWs1kf2,0.656,0.892,0.271,113.048,279921.0
Apollo Two,Atlantis (I Need You) (LTJ Bukem Remix),1993,Drums,Electronic / Dance,,,,,,
Venetian Snares,Hajnal,2005,Drums,Electronic / Dance,1Schz1OrPovrYltU9mFjUL,0.35,0.772,0.217,173.926,466000.0
Getter,Big Mouth,2017,Drums,Electronic / Dance,2yW35KhzYHTTz8a3aAU60p,0.621,0.972,0.207,150.01,281600.0
Diplo,Revolution (Boaz Van De Beatz Remix),2013,Drums,Electronic / Dance,0u4XWOgvzU9rqbAHpskHKP,0.588,0.885,0.25,145.013,266483.0
Mura Masa,Second 2 None,2017,Drums,Electronic / Dance,3HFfrCM9Cvt1NpASNcqzkR,0.75,0.457,0.198,90.011,250640.0
Hellfish,My Style,2008,Drums,Electronic / Dance,22T08Nq0UdjLP3m1tDuzoV,0.511,0.999,0.261,93.994,286957.0
Eric B. & Rakim,Casualties of War,1992,Drums,Hip-Hop / Rap / R&B,2nXSfOUS7BmPhLRV6ehiml,0.78,0.789,0.348,104.79,242973.0
London Grammar,Nightcall,2013,Drums,Rock / Pop,4PRQ8IJzRvbDWNONJWGbwH,0.506,0.306,0.101,100.05,270427.0
Calibre and High Contrast,Mr. Majestic,2004,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Wonderfull Days,1994,Drums,Electronic / Dance,5RFvmMTrWWMkUxfhrnckOJ,0.503,0.958,0.312,165.863,231333.0
Nice & Smooth,Dope Not Hype,1989,Multiple Elements,Hip-Hop / Rap / R&B,6WcbM8bAPRfcz0NCb5nqo7,0.543,0.845,0.535,118.285,238000.0
Breathe Carolina and Dropgun,Rhythm Is a Dancer,2017,Drums,Electronic / Dance,,,,,,
Cut & Run,Amen,2011,Drums,Electronic / Dance,,,,,,
Venetian Snares,Szamár Madár,2005,Drums,Other,5kUHprP4WxPVCEV50Yln10,0.274,0.896,0.0556,173.931,348987.0
Weyheyhey !!,UP THE BUM NO BAIIIIIBEEZ,2013,Drums,Electronic / Dance,,,,,,
Furries in a Blender,Atomizer,2012,Drums,Electronic / Dance,,,,,,
Allister Brimble,Mission 4,2000,Drums,Soundtrack,,,,,,
Barrington Levy and Beenie Man,Under Mi Sensi (Jungle Spliff) (X Project Remix),1994,Drums,Electronic / Dance,,,,,,
Tinie Tempah,Frisky,2010,Drums,Electronic / Dance,1jzqUU2XygNcoTNe9PfcsU,0.636,0.719,0.451,81.894,295413.0
Break the Limits,Paranoize,1991,Drums,Electronic / Dance,,,,,,
Hex,Bioelektrovízia '97,1997,Drums,Rock / Pop,,,,,,
Citadel of Kaos,Paradise Lost,1995,Drums,Electronic / Dance,,,,,,
Squarepusher,My Red Hot Car (Girl),2001,Drums,Electronic / Dance,0VVEapfseIjbwthGdAGNlR,0.76,0.563,0.622,141.835,300800.0
Krome & Time,Everybody Can Be,1994,Drums,Electronic / Dance,,,,,,
Abradab,Mamy Królów Na Banknotach,2010,Drums,Hip-Hop / Rap / R&B,,,,,,
Freestylers,Breaker Beats Part 1,1998,Multiple Elements,Electronic / Dance,,,,,,
Janet Jackson,Escapade (Hippiapolis Mix),1990,Drums,Hip-Hop / Rap / R&B,,,,,,
Renegade,Terrorist,1994,Drums,Electronic / Dance,11ZQDGsvYVBHPGpJFjZs8J,0.624,0.752,0.379,164.75,370800.0
Higher Level,High Spirits,1994,Drums,Electronic / Dance,,,,,,
Remarc,Not 4 U,1993,Drums,Electronic / Dance,,,,,,
Heavy D & the Boyz,Let It Flow,1989,Multiple Elements,Hip-Hop / Rap / R&B,5Y3B0UQvsGtZOekieDHVjI,0.809,0.834,0.508,113.494,225867.0
Pendulum,Different,2008,Drums,Electronic / Dance,0vsOxIBK36keLH8Bezie9A,0.106,0.977,0.147,183.871,351840.0
Statik Selektah,The Chopper,2014,Drums,Hip-Hop / Rap / R&B,492XVFzxr037rGEHfpsdIg,0.652,0.796,0.462,97.049,188714.0
Remarc,One 4 Da Vibes,1993,Drums,Electronic / Dance,,,,,,
Clipping.,Hot Fuck No Love,2016,Drums,Hip-Hop / Rap / R&B,0cUxMaj0QPfda7b7ndeaX1,0.842,0.753,0.721,155.997,209973.0
Andy Stott,Up the Box,2012,Drums,Electronic / Dance,3in6fKHOe4Vtnv0ZSAuJQM,0.596,0.493,0.142,124.974,300956.0
Remarc,Help Me,1993,Drums,Electronic / Dance,,,,,,
Oneohtrix Point Never,Bullet Hell Abstraction I,2015,Drums,Electronic / Dance,1Fv1kk5REkifYbdBJcF1y1,0.269,0.837,0.0365,94.832,376176.0
Toshio Masuda,Bad Situation,2002,Drums,Soundtrack,,,,,,
Remarc,Bad No Bloodclart,2004,Drums,Electronic / Dance,,,,,,
The Dream Team,Lighter,1995,Drums,Electronic / Dance,,,,,,
"Toby ""Radiation"" Fox",Finale,2015,Drums,Electronic / Dance,,,,,,
Remarc,Da Drumz,2004,Drums,Electronic / Dance,,,,,,
Lennie De Ice,We Are i.e.,1991,Drums,Electronic / Dance,5updfQssZ3S5hmPSyPhHdV,0.739,0.586,0.727,136.412,298005.0
Neneh Cherry,The Next Generation,1988,Multiple Elements,Hip-Hop / Rap / R&B,5301ljaYbSmfl9z9qHG8U1,0.839,0.866,0.726,116.166,305667.0
Remarc,2:01,1997,Drums,Electronic / Dance,2sxR0BF8eyQ6Vahv9SqpAS,0.39,0.656,0.32,174.651,306910.0
Asian Dub Foundation,Flyover,2005,Drums,Hip-Hop / Rap / R&B,7Hv5otzOWhNp0Z2JfzNnfj,0.559,0.901,0.764,177.064,258993.0
Rob Dougan,Clubbed to Death (Peshay Remix),1995,Drums,Electronic / Dance,,,,,,
Scooter,Beautiful Vibes,1995,Drums,Electronic / Dance,26jqsTHrvGVqkHf0fCliBx,0.524,0.879,0.357,162.011,313467.0
Rudimental,Give You Up,2013,Drums,Electronic / Dance,,,,,,
The Criminal Minds,Systems Overload,1991,Drums,Electronic / Dance,,,,,,
Squarepusher,Vic Acid,1997,Drums,Electronic / Dance,0IWMZsQnc3tqrwBsy5Y4wl,0.593,0.939,0.842,164.948,187293.0
Atari Teenage Riot,Atari Teenage Riot,1993,Drums,Electronic / Dance,2cy80QjEjQhHt2ni5v90Um,0.531,0.94,0.297,118.982,218298.0
David Bergeaud,Aridia - Traversing the Fortress,2002,Drums,Soundtrack,,,,,,
Dune,Can't Stop Raving,1995,Drums,Electronic / Dance,4Q7fEjeCZgU8oxjbLWrm7L,0.537,0.85,0.21,163.625,216333.0
Uncle 22 and Navigator,6 Million Ways to Die - Choose One,1993,Drums,Electronic / Dance,,,,,,
Dillon Nathaniel,Frequent,2017,Drums,Electronic / Dance,7tfnESrAu7yfjhZ8SQk4XE,0.707,0.765,0.333,123.992,390968.0
Rob Base & DJ E-Z Rock,Keep It Going Now,1988,Drums,Hip-Hop / Rap / R&B,,,,,,
Hideki Naganuma,Sweet Soul Brother (B.B. Rights Mix),2002,Drums,Soundtrack,,,,,,
Petey Clicks,Awake,2017,Drums,Electronic / Dance,2CjhDfEP7YUmkuHRPhug9q,0.822,0.91,0.643,128.022,241000.0
Squarepusher,Rotate Electrolyte,2006,Drums,Electronic / Dance,5Vx8nlFI084wGdI8mRXAZb,0.554,0.578,0.353,160.016,468413.0
Beastie Boys,The Negotiation Limerick File (Ganja Kru Remix),1999,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Your Smile,1996,Drums,Electronic / Dance,37L7FaD5deVryL9P8wYjlA,0.536,0.979,0.22,172.968,215192.0
Noisia,The Tide,2005,Drums,Electronic / Dance,7fvjEXzI9woI2TvJg8yHHL,0.399,0.962,0.0685,110.988,408663.0
Cassius,I <3 U So (Skream's Made Zdar Feel Like He Was 20 Again Remix),2011,Drums,Electronic / Dance,4vSsMRGjCez8mriReBzGD1,0.543,0.814,0.0398,147.011,288919.0
Skunk Anansie,Charlie Big Potato,1999,Drums,Rock / Pop,7Bf0RPsldDH7jVi9H3wODv,0.388,0.824,0.306,158.64,330267.0
What So Not and Skrillex,GOH,2018,Drums,Electronic / Dance,,,,,,
DJ Fresh,Gravity,2015,Drums,Electronic / Dance,,,,,,
Jam Baxter,Filet Mignon (Stivs Remix),2014,Drums,Electronic / Dance,,,,,,
Pendulum,Through the Loop,2005,Drums,Electronic / Dance,4TjwdrfkKIXQZk4QtLuM1I,0.156,0.975,0.108,175.017,373840.0
Amon Tobin,One Small Step,1997,Drums,Electronic / Dance,3O5oqTHasci7jgks7GoyX5,0.298,0.722,0.0948,159.41,371133.0
Moderat,Reminder (Special Request Remix),2016,Drums,Electronic / Dance,1SOHQl38Uv6MKQxsznXGXW,0.712,0.64,0.266,124.02,383577.0
Clint Mansell,πr²,1998,Drums,Electronic / Dance,,,,,,
DJ Ace (3) and Daquan,Give It Up,1988,Drums,Hip-Hop / Rap / R&B,,,,,,
Birds of Sweden,Cianga Cianga,2017,Drums,Electronic / Dance,,,,,,
Bones (Jungle Producer) and Natty,Pow,1995,Drums,Electronic / Dance,,,,,,
Orbital,Satan (Industry Standard Edit),1996,Drums,Electronic / Dance,,,,,,
Celldweller,Switchback,2003,Drums,Rock / Pop,3lUwCryVobacobYrN5f2Je,0.44,0.834,0.356,112.932,302693.0
N.W.A,Dopeman (Prisoners of Technology Mix / Club),1999,Drums,Electronic / Dance,,,,,,
Katy B,Witches Brew,2011,Drums,Electronic / Dance,5ekZc02jzXbWCC0RClLewp,0.614,0.892,0.548,127.915,199600.0
Peshay,Piano Tune,1995,Drums,Electronic / Dance,,,,,,
Renard,TU4AR,2010,Drums,Electronic / Dance,,,,,,
Garbage,Push It,1998,Drums,Rock / Pop,5qJKdOOkMzpM0s4JaTclRw,0.551,0.876,0.772,123.814,242567.0
Savage Garden,I Want You,1995,Drums,Rock / Pop,3XorCFmcupSm5QS6hA9g4N,0.628,0.871,0.615,106.101,232067.0
3rd Bass,Portrait of the Artist as a Hood,1991,Drums,Hip-Hop / Rap / R&B,69t2fK9pngJzqe1AjQaKbz,0.833,0.755,0.283,106.987,269600.0
Carl Cox,I Want You (Forever),1991,Drums,Electronic / Dance,1tRLXy4R5YDnwATpNIkz1R,0.872,0.663,0.304,126.019,245714.0
Oblivion,Night Windows.,1995,Drums,Electronic / Dance,1M1Rk1xJvpx6XGkeMvvkXz,0.493,0.93,0.4,159.544,389291.0
Coco Bryce,Massiv,2016,Drums,Electronic / Dance,,,,,,
Divine Force,Holy War (Live),1987,Multiple Elements,Hip-Hop / Rap / R&B,,,,,,
DJ Crystl,The Dark Crystl,1993,Drums,Electronic / Dance,,,,,,
DJ Paul Elstak,Life Is Like a Dance,1995,Drums,Electronic / Dance,190RnsLGKnspVmVeb6s6wi,0.518,0.928,0.383,157.687,210792.0
Renard,Intensive Care Unit,2009,Drums,Electronic / Dance,,,,,,
DJ Crystl,"Inna Year 3,000",1993,Drums,Electronic / Dance,,,,,,
Dizzee Rascal,Ghost,2017,Drums,Hip-Hop / Rap / R&B,3GDYjJa40zGTpmzocDLmrq,0.718,0.73,0.379,144.943,179131.0
Marshmello,Silence (Rude Kid Remix),2017,Drums,Electronic / Dance,22pgFeRBx1wciCMWzRpRxg,0.506,0.775,0.304,141.946,212962.0
RL Grime,Aurora (NGHTMRE Remix),2016,Drums,Electronic / Dance,,,,,,
Skream,The Epic Last Song,2010,Drums,Other,2NCa7pCnaqSzTtlwnnboZy,0.468,0.829,0.796,153.986,299760.0
DJ Crystl,Crystlize,1993,Drums,Electronic / Dance,,,,,,
Alec Empire,Suicide,1996,Drums,Electronic / Dance,2Oe4MjUQ0staHsZyKLcJk3,0.499,0.833,0.214,167.094,294733.0
Brand Nubian,The Godz...,1992,Drums,Hip-Hop / Rap / R&B,4l2zDVEP9fM713WNao68tP,0.761,0.446,0.369,100.548,230187.0
DJ CAMGIRL,PNV,2016,Drums,Electronic / Dance,6yoKoymfYVHbwdBOpQMF5r,0.564,0.978,0.562,139.878,125143.0
Jack Ü,Take Ü There (AWE Remix),2015,Drums,Electronic / Dance,,,,,,
Fine Young Cannibals,I'm Not Satisfied (New York Rap Mix),1990,Hook / Riff,Hip-Hop / Rap / R&B,,,,,,
Ron Tom,Pirates,1995,Drums,Electronic / Dance,,,,,,
Gold Panda,Win-San Western,2011,Drums,Electronic / Dance,6FlBciy0sbMVz6RbWH68MS,0.401,0.98,0.7,180.093,187440.0
Ultramagnetic MC's,Watch Me Now,1988,Drums,Hip-Hop / Rap / R&B,1jfdTEAPTiDW94j7bq0jLU,0.914,0.955,0.874,108.405,287600.0
Renard,Rainbow Dash Likes Girls (Stay Gay Pony Girl),2011,Drums,Electronic / Dance,,,,,,
Venetian Snares,Kétsarkú Mozgalom,2005,Drums,Electronic / Dance,3IDjqmxl1byHANbCaHpPpO,0.355,0.864,0.0366,172.774,530000.0
Altern 8,Re-Indulge,1992,Drums,Electronic / Dance,279VisUGTVhF5DWE2Y8scQ,0.567,0.49,0.162,127.068,376187.0
Little Big,Hateful Love,2015,Drums,Electronic / Dance,5csbBb7DkzDkDaH9wJ2Xxp,0.399,0.743,0.397,170.022,203344.0
The Minutemen,"Ok, Alright (Club Mix)",1989,Drums,Electronic / Dance,,,,,,
Rom Di Prisco,Romulus 3,1998,Drums,Soundtrack,,,,,,
Mono,Life in Mono,1998,Drums,Rock / Pop,1dKmWxKinP9pnTOe3YoDS2,0.479,0.809,0.472,169.888,226209.0
Frank-E & Mars-L,Back Once Again,1995,Drums,Electronic / Dance,,,,,,
Venetian Snares,Szerencsétlen,2005,Drums,Electronic / Dance,7eT0Ll8DSstDXVpxtSe69I,0.51,0.889,0.176,173.902,295573.0
The Pharcyde,Soul Flower (2 Tha 3 Mix),1993,Multiple Elements,Hip-Hop / Rap / R&B,,,,,,
Galantis,Kill 'Em With the Love,2015,Drums,Electronic / Dance,5s0qEUhgu2o6b8HNTuICwc,0.585,0.888,0.552,125.049,222200.0
Vengaboys,We Like to Party! (Full Schwingg Mix),1998,Drums,Electronic / Dance,,,,,,
DJ CAMGIRL,Proppa,2016,Drums,Electronic / Dance,4JQ3xyW5rknMICumqH1MlL,0.78,0.967,0.606,140.016,120000.0
Igorrr,Melting Nails,2009,Drums,Electronic / Dance,79yhhcpZjYg8pOIzbsAxaD,0.347,0.992,0.774,159.871,157014.0
Zomby,Overdose,2013,Drums,Electronic / Dance,3uw7UQRtrDO8kvTOQQtX4J,0.463,0.795,0.191,175.109,153600.0
Squarepusher,Tundra,1996,Drums,Electronic / Dance,5qphpUfm9q7iR12MuezjsH,0.37,0.692,0.0397,160.011,762947.0
Squarepusher,Illegal Dustbin,2009,Drums,Electronic / Dance,5FutnvO0Gvj5aFvEiDpIAA,0.533,0.973,0.347,130.074,258253.0
Boymerang,A.C.I.D,1997,Drums,Electronic / Dance,,,,,,
Steady B,Stupid Fresh,1986,Drums,Hip-Hop / Rap / R&B,0dR7KkSkuHCjXjqmbVtYEw,,,,,
Naofumi Hataya,"Rival Battle: Metal Sonic ""Stardust Speedway""",2011,Drums,Soundtrack,,,,,,
Party Animals,Have You Ever Been Mellow?,1995,Drums,Electronic / Dance,75CLNW6Goi8LZ6rYGDmfHS,,,,,
Adryiano,Everyone Is Art Director,2017,Drums,Electronic / Dance,,,,,,
LSDXOXO,False Idols,2018,Drums,Electronic / Dance,,,,,,
ESPRIT 空想,peter.wav,2014,Multiple Elements,Electronic / Dance,7aRaLHRsWQ7ROIPE3CWtRz,,,,,
Flamman & Abraxas,Good to Go,1996,Drums,Electronic / Dance,75d0ROZttg9STTFZe5HtA1,,,,,
Perry Farrell,Whole Lotta Love,1999,Drums,Electronic / Dance,2IwQFZjqBqkUlcketyZCNm,,,,,
"Lee ""Scratch"" Perry and Mad Professor",I'm Not a Human Being,1995,Drums,Reggae,,,,,,
Suprême NTM,Paix,1991,Drums,Hip-Hop / Rap / R&B,4mx3Jc5MuFKyg3TZfqIslr,,,,,
DJ Junk,Going the Distance (Amen Remix),2003,Drums,Hip-Hop / Rap / R&B,,,,,,
Tiro De Gracia,Untitled,1993,Drums,Hip-Hop / Rap / R&B,,,,,,
House of Pain,Top O' the Morning to Ya (Underdog Remix),1993,Hook / Riff,Hip-Hop / Rap / R&B,,,,,,
Tellurian,Option to Die,1994,Drums,Electronic / Dance,,,,,,
Remarc,R.I.P,1995,Drums,Electronic / Dance,3cTAvCCJLjtmWNPVwhNqDT,,,,,
Venetian Snares,Hand Throw,2003,Drums,Electronic / Dance,0DZnMfEO3KEsNf7dkjtenD,,,,,
The Prodigy,Evil Minds,1991,Drums,Electronic / Dance,,,,,,
Junichi Masuda,Battle! Kanto Champion,2010,Drums,Soundtrack,,,,,,
Current Value,Dark Rain,2006,Drums,Electronic / Dance,3rPFO1SnHNm0PKIrC5ciA3,,,,,
Luke Vibert,Heard It All B4,2017,Drums,Electronic / Dance,1hdrU9g0Qn347TsqhhnvCC,,,,,
DJ Red Alert & Mike Slammer,In Effect (The Remix),1993,Drums,Electronic / Dance,,,,,,
Deee-Lite,"Come on In, the Dreams Are Fine",1992,Drums,Electronic / Dance,1woxMQfAJBFSEyHB8CPaW0,,,,,
The Invisible Man (2),The Tone Tune,1993,Drums,Electronic / Dance,,,,,,
Hardwell and Steve Aoki,Anthem,2018,Drums,Electronic / Dance,,,,,,
Kid 'N Play,Bill's at the Door,1991,Drums,Hip-Hop / Rap / R&B,,,,,,
Squarepusher,Tundra 4,2004,Drums,Electronic / Dance,5qphpUfm9q7iR12MuezjsH,,,,,
Les Sins,Drop,2014,Drums,Electronic / Dance,3wQEw0cz16eZbgDES8rW0L,,,,,
Pijani Powietrzem,Fotki,2002,Drums,Hip-Hop / Rap / R&B,,,,,,
Bomfunk MC's,Live Yor Live,2002,Drums,Electronic / Dance,,,,,,
Nakatomi,Children of the Night,1996,Drums,Electronic / Dance,3kgJepRrGMc5nq4LbtFg2B,,,,,
Bounty Killer and Beenie Man,Borderline Mobster,1995,Drums,Electronic / Dance,39SfZjiX59FRIR5FJoa9Pb,,,,,
DJ Rashad,I'm Too Hi,2013,Drums,Electronic / Dance,3v0F6LpzqLK0wapFOlwhUv,,,,,
P*Light,Poppin' Shower,2011,Drums,Electronic / Dance,,,,,,
DJ Seinfeld,Wombat Bounce,2017,Drums,Electronic / Dance,20CyVv257uzRqtXlhMQkR7,,,,,
Ike Kapone and D.J. A.D.,Nothin' on Me,1989,Drums,Hip-Hop / Rap / R&B,,,,,,
Route 94,My Love (Sigma Remix),2014,Drums,Electronic / Dance,,,,,,
Omni Trio,Torn,1996,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Stars,1995,Drums,Electronic / Dance,0eNaTq6yF6tuwcA99e14q9,,,,,
Alex Clare,Treading Water,2011,Drums,Rock / Pop,2lSnIeBagTxtRwllJnrnLT,,,,,
Magnetic Man,Perfect Stranger,2010,Drums,Electronic / Dance,5Sy7Z6DBICcE9AN63Fdihw,,,,,
Nasty Habits,Shadow Boxing (Om Unit VIP),2016,Drums,Electronic / Dance,0O21b3SJ8jpLbQrOuDWQAy,,,,,
Hideki Okugawa,Killing Moon,2000,Drums,Soundtrack,,,,,,
Goldie,Chico (Death of a Rock Star),1998,Drums,Electronic / Dance,,,,,,
Haircuts for Men,私はビバップを見てきました,2016,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Gimme Gimme Gimme,1996,Drums,Electronic / Dance,2DMI04osWYdlXxTq4Wfl4x,,,,,
Masaya Matsuura,All Masters' Rap,1996,Drums,Soundtrack,,,,,,
Noisia,Alpha Centauri (Datsik & Excision Remix),2012,Drums,Electronic / Dance,2nBQNQPIjwn1k86rGZ0uiV,,,,,
The Director,Somebody Scream,1995,Drums,Electronic / Dance,,,,,,
Bell Biv DeVoe,Word to the Mutha! (Remix),1991,Drums,Hip-Hop / Rap / R&B,3aEhuFQOLadOb7JvcrnNfM,,,,,
Dave Rodgers,Deja Vu,1999,Drums,Electronic / Dance,,,,,,
Borai,Never as Good,2015,Drums,Electronic / Dance,,,,,,
John B,Red Sky,2008,Drums,Electronic / Dance,2mrxIVkXzllFOKWAE3tMwD,,,,,
Noize MC,Марафон,2017,Drums,Hip-Hop / Rap / R&B,,,,,,
Phat Kat,True Story Pt. 2,2007,Drums,Hip-Hop / Rap / R&B,,,,,,
Fatboy Slim,Next to Nothing,1996,Drums,Electronic / Dance,5c7B1rKEoAjG0LFUmcUK53,,,,,
MAX (Korean Game Music),Accident,2012,Drums,Electronic / Dance,,,,,,
Super Lover Cee & Casanova Rud,Girls Act Stupid-aly,1988,Drums,Hip-Hop / Rap / R&B,,,,,,
LTJ Bukem and Peshay,19.5,1993,Drums,Electronic / Dance,,,,,,
